epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.5609,0.8172,0.06416,0.09686,0.13207,0.33904
1,test,0.2298,0.9271,0.07003,0.09889,0.13996,0.38089
2,train,0.1900,0.9406,0.07108,0.09603,0.13408,0.35045
2,test,0.1504,0.9521,0.07235,0.09762,0.13669,0.34853
3,train,0.1425,0.9549,0.07323,0.09432,0.13137,0.34473
3,test,0.1420,0.9530,0.07404,0.09558,0.12744,0.32816
4,train,0.1201,0.9612,0.07441,0.09376,0.12790,0.32725
4,test,0.1262,0.9599,0.07396,0.09323,0.12231,0.30464
5,train,0.1026,0.9670,0.07441,0.09297,0.12688,0.32173
5,test,0.1224,0.9603,0.07468,0.09367,0.12974,0.32562
6,train,0.0950,0.9696,0.07482,0.09169,0.12301,0.30427
6,test,0.1020,0.9685,0.07561,0.09223,0.12733,0.31932
7,train,0.0842,0.9721,0.07556,0.09216,0.12375,0.29861
7,test,0.1071,0.9655,0.07664,0.08757,0.11878,0.29107
8,train,0.0792,0.9738,0.07534,0.08997,0.11958,0.28981
8,test,0.0946,0.9719,0.07569,0.08965,0.11575,0.27625
9,train,0.0706,0.9771,0.07574,0.08966,0.11744,0.28392
9,test,0.0924,0.9714,0.07476,0.08784,0.11456,0.28771
10,train,0.0662,0.9781,0.07610,0.09058,0.11671,0.28373
10,test,0.1020,0.9681,0.07661,0.08924,0.11488,0.26754
