epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.4150,0.8707,0.05834,0.09633,0.12392,0.32170
1,test,0.1706,0.9468,0.06252,0.09421,0.12141,0.33557
2,train,0.1508,0.9528,0.06429,0.09306,0.11985,0.33615
2,test,0.1266,0.9581,0.06612,0.09045,0.11620,0.33068
3,train,0.1103,0.9650,0.06608,0.08999,0.11567,0.33403
3,test,0.1101,0.9620,0.06647,0.08988,0.11047,0.32445
4,train,0.0917,0.9702,0.06654,0.08884,0.11285,0.32754
4,test,0.1263,0.9581,0.06803,0.09065,0.11536,0.32698
5,train,0.0786,0.9744,0.06712,0.08677,0.11315,0.32977
5,test,0.1033,0.9664,0.06678,0.08526,0.10852,0.31870
6,train,0.0710,0.9769,0.06656,0.08562,0.10976,0.31779
6,test,0.1126,0.9637,0.06751,0.08654,0.10960,0.31942
7,train,0.0606,0.9797,0.06678,0.08446,0.10945,0.31876
7,test,0.0879,0.9718,0.06743,0.08617,0.11189,0.33009
8,train,0.0518,0.9821,0.06715,0.08414,0.10734,0.31310
8,test,0.1130,0.9647,0.06872,0.08376,0.10617,0.29255
9,train,0.0488,0.9836,0.06670,0.08391,0.10767,0.30587
9,test,0.0942,0.9701,0.06733,0.08627,0.11132,0.31010
10,train,0.0442,0.9852,0.06694,0.08334,0.10925,0.31382
10,test,0.1005,0.9698,0.06577,0.08003,0.10186,0.29300
