epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,1.9848,0.2979,0.07034,0.09201,0.13707,0.18172
1,test,1.4584,0.4432,0.09732,0.15412,0.25074,0.30701
2,train,1.3574,0.4883,0.08218,0.14181,0.19046,0.28312
2,test,1.2357,0.5227,0.11447,0.20043,0.19608,0.29543
3,train,1.1811,0.5225,0.09642,0.16707,0.15549,0.28290
3,test,1.1071,0.5341,0.13458,0.21373,0.19524,0.33715
4,train,1.0263,0.5723,0.11049,0.16851,0.16419,0.32107
4,test,1.0382,0.5530,0.15209,0.20112,0.20082,0.34012
5,train,0.9116,0.6172,0.12232,0.15665,0.15628,0.30543
5,test,1.0846,0.5644,0.16620,0.19734,0.20002,0.35045
6,train,0.8752,0.6357,0.13139,0.15967,0.16787,0.32527
6,test,1.0413,0.5833,0.17368,0.20149,0.20138,0.33900
7,train,0.8117,0.6572,0.13731,0.15943,0.15476,0.30499
7,test,0.9387,0.5985,0.18004,0.20236,0.19197,0.33538
8,train,0.7190,0.6748,0.14192,0.16229,0.16201,0.32210
8,test,0.9430,0.5720,0.18603,0.20477,0.20243,0.35249
9,train,0.6207,0.7402,0.14769,0.16068,0.15981,0.32353
9,test,0.9115,0.5947,0.19520,0.20177,0.19552,0.34942
10,train,0.5755,0.7529,0.15292,0.16225,0.16203,0.33298
10,test,0.9138,0.5909,0.19996,0.20363,0.20251,0.36259
11,train,0.5334,0.7715,0.15592,0.16210,0.16339,0.33826
11,test,0.8979,0.6174,0.20367,0.19722,0.19718,0.35641
12,train,0.5111,0.7695,0.15594,0.15546,0.15592,0.33655
12,test,0.9654,0.6023,0.20114,0.20394,0.20421,0.37213
13,train,0.4752,0.7852,0.15646,0.16454,0.16357,0.34736
13,test,0.8777,0.6061,0.20137,0.19970,0.19358,0.35772
14,train,0.4202,0.8164,0.15743,0.15916,0.15751,0.33873
14,test,0.8663,0.6326,0.20167,0.19764,0.19943,0.36482
15,train,0.4032,0.8428,0.15706,0.16109,0.16377,0.35061
15,test,0.9471,0.6402,0.20477,0.20255,0.19570,0.36689
16,train,0.3680,0.8584,0.15787,0.16114,0.15714,0.34021
16,test,0.8815,0.6023,0.20258,0.19994,0.19215,0.36078
17,train,0.3363,0.8760,0.15701,0.15985,0.16161,0.35422
17,test,0.9915,0.6174,0.20011,0.19842,0.20121,0.37486
18,train,0.3003,0.9102,0.15633,0.15927,0.16007,0.35491
18,test,0.8996,0.6402,0.20052,0.20053,0.19358,0.37667
19,train,0.2662,0.9199,0.15711,0.16006,0.15950,0.35850
19,test,0.9558,0.6439,0.20339,0.19771,0.19684,0.38201
20,train,0.2484,0.9111,0.15824,0.15970,0.16084,0.36565
20,test,0.9210,0.6515,0.20351,0.20006,0.19896,0.37610
21,train,0.2356,0.9180,0.15853,0.16191,0.16076,0.35753
21,test,0.9236,0.6629,0.20128,0.20029,0.19765,0.38074
22,train,0.2080,0.9414,0.15758,0.16038,0.16173,0.36653
22,test,0.9387,0.6477,0.20413,0.19656,0.19242,0.38134
23,train,0.1861,0.9463,0.15878,0.15824,0.15719,0.36092
23,test,0.9414,0.6591,0.20139,0.19901,0.19918,0.38394
24,train,0.1646,0.9531,0.15697,0.16192,0.16393,0.37206
24,test,1.0208,0.6250,0.20191,0.20110,0.19655,0.38269
25,train,0.1572,0.9619,0.16064,0.15962,0.15694,0.36439
25,test,1.0270,0.6288,0.20179,0.19849,0.20062,0.38646
26,train,0.1392,0.9717,0.15721,0.16062,0.16452,0.37111
26,test,1.0173,0.6515,0.20180,0.19945,0.19387,0.37939
27,train,0.1145,0.9844,0.15744,0.15996,0.15713,0.36268
27,test,1.0633,0.6439,0.20175,0.19833,0.19609,0.38423
28,train,0.1111,0.9736,0.15743,0.15968,0.16216,0.37495
28,test,1.0264,0.6818,0.20254,0.20051,0.19886,0.38782
29,train,0.0921,0.9902,0.16064,0.16160,0.16000,0.36849
29,test,0.9946,0.6629,0.20302,0.20057,0.19422,0.37925
30,train,0.0814,0.9902,0.15875,0.16084,0.16123,0.36959
30,test,1.0398,0.6705,0.21038,0.19764,0.19449,0.38756
