epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,1.9598,0.2891,0.13069,0.10826,0.15025,0.19814
1,test,1.3522,0.4962,0.17542,0.17949,0.24150,0.31077
2,train,1.3132,0.5234,0.14619,0.15549,0.17311,0.27490
2,test,1.1252,0.5455,0.19828,0.20538,0.18096,0.31247
3,train,1.0769,0.5830,0.15588,0.16363,0.15450,0.31404
3,test,1.0056,0.5606,0.20416,0.20142,0.19703,0.36833
4,train,0.9073,0.6104,0.16029,0.16008,0.16106,0.33901
4,test,0.9176,0.5985,0.20409,0.19642,0.19208,0.35782
5,train,0.7853,0.6738,0.15916,0.15865,0.15757,0.33508
5,test,0.8926,0.6023,0.20315,0.19666,0.19145,0.36273
6,train,0.6986,0.7021,0.15860,0.15949,0.16067,0.34462
6,test,0.8683,0.5947,0.20281,0.19851,0.19399,0.36906
7,train,0.6166,0.7471,0.15825,0.15987,0.15937,0.34684
7,test,0.8332,0.6477,0.20251,0.19979,0.19586,0.37369
8,train,0.5462,0.7803,0.15706,0.15920,0.15832,0.35094
8,test,0.8405,0.6136,0.20254,0.20254,0.19865,0.37819
9,train,0.4996,0.8008,0.15782,0.16263,0.16422,0.36051
9,test,0.8579,0.6364,0.20287,0.19906,0.19017,0.36863
10,train,0.4589,0.8389,0.15627,0.15920,0.15826,0.35526
10,test,0.8214,0.6705,0.20078,0.19887,0.19731,0.38371
11,train,0.4079,0.8496,0.15643,0.15908,0.16028,0.36140
11,test,0.8174,0.6515,0.20147,0.20065,0.19729,0.38422
12,train,0.3873,0.8623,0.15875,0.16076,0.16094,0.37404
12,test,0.8086,0.6477,0.20227,0.20179,0.19376,0.39513
13,train,0.3484,0.8633,0.15899,0.16247,0.16067,0.37301
13,test,0.8640,0.6553,0.20255,0.20137,0.19744,0.39060
14,train,0.3292,0.8770,0.15831,0.16096,0.16093,0.36959
14,test,0.8531,0.6705,0.20244,0.19952,0.19105,0.38216
15,train,0.2872,0.9209,0.15826,0.15995,0.15886,0.36576
15,test,0.9473,0.6402,0.20265,0.19970,0.19566,0.38301
16,train,0.2641,0.9316,0.15900,0.16069,0.16297,0.37159
16,test,0.9200,0.6553,0.20482,0.20132,0.19488,0.38662
17,train,0.2528,0.9033,0.15960,0.16138,0.15903,0.37255
17,test,0.8409,0.6439,0.20481,0.20080,0.19310,0.38936
18,train,0.2356,0.9111,0.15939,0.16052,0.15935,0.37456
18,test,0.8672,0.6932,0.20472,0.20151,0.19829,0.39166
19,train,0.1936,0.9541,0.15810,0.16010,0.16142,0.37384
19,test,0.8640,0.6591,0.20542,0.20037,0.19342,0.38733
20,train,0.1663,0.9668,0.16041,0.16206,0.16156,0.37903
20,test,0.8733,0.6705,0.20614,0.20036,0.19581,0.39790
21,train,0.1556,0.9658,0.16059,0.16081,0.15912,0.37771
21,test,0.9412,0.6667,0.20565,0.19923,0.19197,0.39109
22,train,0.1399,0.9678,0.15780,0.15965,0.16133,0.38483
22,test,0.9239,0.6894,0.20041,0.19839,0.19291,0.39821
23,train,0.1276,0.9697,0.15831,0.16079,0.16034,0.38503
23,test,0.9377,0.6553,0.20562,0.19971,0.19436,0.39550
24,train,0.1182,0.9746,0.15943,0.16023,0.15859,0.37981
24,test,0.9763,0.6515,0.20288,0.19781,0.19404,0.39154
25,train,0.1113,0.9775,0.15998,0.16126,0.16418,0.38380
25,test,0.9930,0.6326,0.20625,0.20166,0.19277,0.39092
26,train,0.0871,0.9951,0.16117,0.16201,0.15785,0.37899
26,test,0.9520,0.6439,0.20284,0.19609,0.18924,0.39586
27,train,0.0931,0.9863,0.15812,0.15869,0.16148,0.39071
27,test,0.9787,0.6553,0.20026,0.19688,0.19458,0.40262
28,train,0.0711,0.9893,0.15963,0.16031,0.16026,0.38519
28,test,0.9812,0.6553,0.20592,0.19837,0.18834,0.39061
29,train,0.0614,0.9971,0.15780,0.16043,0.15838,0.38185
29,test,0.9870,0.6402,0.20032,0.19636,0.19441,0.39772
30,train,0.0514,0.9990,0.15933,0.16061,0.16287,0.38843
30,test,0.9504,0.6402,0.20347,0.19628,0.18779,0.39175
