epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.1166,0.2656,0.06270,0.05797,0.05885,0.09092
1,test,1.6914,0.4129,0.07588,0.05942,0.06382,0.13014
2,train,1.5135,0.4824,0.05787,0.04434,0.05536,0.14769
2,test,1.2374,0.4886,0.06918,0.05620,0.07743,0.22578
3,train,1.1250,0.5811,0.05387,0.04320,0.06085,0.20877
3,test,1.0649,0.5758,0.06616,0.05419,0.07431,0.25824
4,train,0.9401,0.6377,0.05174,0.04256,0.05855,0.23770
4,test,0.9745,0.5758,0.06437,0.05394,0.07196,0.28475
5,train,0.8000,0.6650,0.04985,0.04206,0.05632,0.25898
5,test,0.9027,0.5871,0.06294,0.05317,0.06890,0.29678
6,train,0.7240,0.7119,0.04903,0.04213,0.05509,0.27524
6,test,0.9086,0.5947,0.06224,0.05433,0.06682,0.30545
7,train,0.6659,0.7061,0.04809,0.04303,0.05179,0.27451
7,test,0.8776,0.6023,0.06133,0.05446,0.06108,0.29469
8,train,0.6089,0.7383,0.04746,0.04329,0.04927,0.26866
8,test,0.8707,0.6098,0.06123,0.05596,0.06274,0.30524
9,train,0.5295,0.7705,0.04734,0.04420,0.05050,0.28267
9,test,0.8812,0.6023,0.06095,0.05683,0.06246,0.31523
10,train,0.4881,0.7910,0.04708,0.04449,0.05047,0.28946
10,test,0.8823,0.6098,0.06046,0.05589,0.06032,0.31604
11,train,0.4473,0.8057,0.04628,0.04420,0.04826,0.28600
11,test,0.8501,0.6439,0.06013,0.05591,0.05891,0.31302
12,train,0.4177,0.8203,0.04495,0.04389,0.04782,0.28847
12,test,0.9230,0.6136,0.05756,0.05731,0.06064,0.32095
13,train,0.3747,0.8467,0.04520,0.04494,0.04895,0.29744
13,test,0.8950,0.6402,0.05493,0.05467,0.05878,0.32127
14,train,0.3452,0.8828,0.04402,0.04410,0.04735,0.29445
14,test,0.8833,0.6402,0.06019,0.05699,0.05791,0.32280
15,train,0.3075,0.9092,0.04566,0.04625,0.04870,0.30808
15,test,0.9573,0.6250,0.05774,0.05685,0.05788,0.33474
16,train,0.2840,0.9062,0.04503,0.04454,0.04660,0.30110
16,test,0.9004,0.6553,0.05719,0.05494,0.05462,0.31859
17,train,0.2472,0.9336,0.04416,0.04409,0.04692,0.30585
17,test,0.9380,0.6061,0.05762,0.05793,0.06041,0.34137
18,train,0.2196,0.9346,0.04495,0.04560,0.04858,0.31618
18,test,0.9353,0.6553,0.05463,0.05496,0.05374,0.33214
19,train,0.1966,0.9600,0.04308,0.04425,0.04575,0.30553
19,test,0.9714,0.6629,0.05213,0.05329,0.05401,0.32924
20,train,0.1695,0.9580,0.04266,0.04434,0.04643,0.31593
20,test,1.0092,0.6402,0.05510,0.05715,0.05614,0.34554
21,train,0.1383,0.9736,0.04327,0.04505,0.04713,0.32250
21,test,0.9856,0.6591,0.05491,0.05754,0.05546,0.33966
22,train,0.1308,0.9727,0.04304,0.04452,0.04563,0.31750
22,test,1.0394,0.6288,0.05753,0.05623,0.05589,0.35258
23,train,0.1138,0.9834,0.04394,0.04464,0.04720,0.33393
23,test,1.0523,0.6250,0.05768,0.05751,0.05616,0.35216
24,train,0.0958,0.9883,0.04251,0.04392,0.04579,0.32505
24,test,1.1007,0.6288,0.05245,0.05376,0.05275,0.34100
25,train,0.0824,0.9912,0.04390,0.04559,0.04551,0.32719
25,test,1.0609,0.6402,0.05256,0.05395,0.05302,0.34665
26,train,0.0727,0.9902,0.04211,0.04423,0.04508,0.32871
26,test,1.0979,0.6326,0.05545,0.05769,0.05383,0.35070
27,train,0.0576,0.9980,0.04418,0.04552,0.04502,0.32720
27,test,1.2062,0.6364,0.05222,0.05358,0.05178,0.34462
28,train,0.0594,0.9941,0.04149,0.04272,0.04404,0.32619
28,test,1.1598,0.6326,0.05247,0.05407,0.05278,0.34567
29,train,0.0546,0.9922,0.04277,0.04387,0.04488,0.33198
29,test,1.1811,0.6250,0.05476,0.05480,0.05269,0.35071
30,train,0.0406,0.9971,0.04186,0.04297,0.04419,0.33063
30,test,1.1987,0.5871,0.05211,0.05247,0.05061,0.33851
