epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.1951,0.2383,0.11772,0.05473,0.04848,0.06216
1,test,1.8439,0.3220,0.13793,0.04551,0.03851,0.08887
2,train,1.6553,0.4238,0.10350,0.03507,0.03539,0.11321
2,test,1.3169,0.5303,0.12187,0.04082,0.05130,0.21456
3,train,1.2659,0.5312,0.09093,0.03233,0.04314,0.20288
3,test,1.0970,0.5417,0.10680,0.03886,0.05623,0.26829
4,train,1.0238,0.6182,0.08056,0.03098,0.04493,0.24403
4,test,0.9797,0.5720,0.09161,0.03632,0.05239,0.28219
5,train,0.9219,0.6367,0.06903,0.02827,0.04018,0.24123
5,test,0.9171,0.5682,0.08039,0.03360,0.04579,0.26699
6,train,0.8226,0.6436,0.05980,0.02750,0.03908,0.25343
6,test,0.8664,0.6061,0.06994,0.03454,0.04987,0.29937
7,train,0.7453,0.6934,0.05192,0.02862,0.04016,0.27294
7,test,0.8623,0.6174,0.06142,0.03460,0.04672,0.29419
8,train,0.6861,0.7119,0.04750,0.02650,0.03587,0.25654
8,test,0.8809,0.6061,0.05897,0.03501,0.04684,0.29968
9,train,0.6265,0.7510,0.04405,0.02704,0.03708,0.27261
9,test,0.8498,0.6212,0.04991,0.03223,0.04562,0.30993
10,train,0.5763,0.7588,0.04209,0.02764,0.03815,0.28673
10,test,0.8799,0.6250,0.04915,0.03205,0.04403,0.31182
11,train,0.5317,0.7939,0.04010,0.02605,0.03501,0.26975
11,test,0.8647,0.6250,0.04849,0.03260,0.04393,0.31216
12,train,0.4794,0.8232,0.03981,0.02690,0.03614,0.28227
12,test,0.9442,0.6098,0.04740,0.03167,0.03999,0.27824
13,train,0.4466,0.8232,0.03934,0.02727,0.03592,0.28191
13,test,0.8546,0.6439,0.04740,0.03226,0.04085,0.29535
14,train,0.4065,0.8613,0.03880,0.02676,0.03414,0.27327
14,test,0.9099,0.5985,0.04671,0.03237,0.03970,0.28275
15,train,0.3539,0.9053,0.03831,0.02709,0.03420,0.27430
15,test,0.8983,0.6439,0.04651,0.03311,0.04133,0.30466
16,train,0.3075,0.9219,0.03785,0.02777,0.03540,0.29039
16,test,0.9168,0.6326,0.04330,0.03369,0.03977,0.29668
17,train,0.2894,0.9219,0.03453,0.02718,0.03383,0.27870
17,test,0.9101,0.6402,0.04071,0.03356,0.04095,0.31303
18,train,0.2536,0.9385,0.03376,0.02728,0.03420,0.28781
18,test,0.9430,0.6212,0.03989,0.03320,0.03963,0.30502
19,train,0.2331,0.9492,0.03312,0.02755,0.03384,0.28765
19,test,0.9937,0.6515,0.03976,0.03362,0.03949,0.30872
20,train,0.1878,0.9678,0.03348,0.02787,0.03426,0.29930
20,test,0.9823,0.6364,0.03962,0.03305,0.03893,0.30927
21,train,0.1693,0.9707,0.03286,0.02753,0.03347,0.29230
21,test,1.0172,0.6098,0.03883,0.03261,0.03794,0.30512
22,train,0.1394,0.9863,0.03232,0.02734,0.03275,0.28953
22,test,1.0070,0.6553,0.03856,0.03294,0.03788,0.30864
23,train,0.1268,0.9854,0.03167,0.02747,0.03277,0.29339
23,test,1.0092,0.6288,0.03831,0.03307,0.03737,0.30830
24,train,0.1071,0.9834,0.03104,0.02722,0.03243,0.29473
24,test,1.0695,0.6250,0.03814,0.03320,0.03766,0.31504
25,train,0.0910,0.9932,0.03060,0.02793,0.03256,0.30093
25,test,1.0577,0.6174,0.03508,0.03135,0.03367,0.27967
26,train,0.0882,0.9951,0.03002,0.02741,0.03095,0.28648
26,test,1.1049,0.6061,0.03504,0.03135,0.03343,0.28193
27,train,0.0726,0.9922,0.03013,0.02743,0.03113,0.29210
27,test,1.1617,0.6212,0.03530,0.03142,0.03303,0.28411
28,train,0.0608,0.9990,0.02996,0.02689,0.03011,0.28578
28,test,1.0375,0.6288,0.03558,0.03280,0.03626,0.32228
29,train,0.0500,0.9990,0.03014,0.02723,0.03072,0.29642
29,test,1.0960,0.6402,0.03515,0.03047,0.03291,0.28927
30,train,0.0460,0.9990,0.02997,0.02704,0.03064,0.29947
30,test,1.1321,0.6364,0.03540,0.03384,0.03616,0.33087
