epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.0688,0.2607,0.05933,0.10225,0.16993,0.17844
1,test,1.4883,0.4280,0.08485,0.17162,0.35595,0.32693
2,train,1.4899,0.4170,0.07237,0.17103,0.35396,0.33357
2,test,1.3255,0.4508,0.10026,0.26283,0.46207,0.33943
3,train,1.2832,0.5117,0.08531,0.23108,0.36653,0.32824
3,test,1.2449,0.5189,0.11870,0.32773,0.39770,0.33516
4,train,1.1798,0.5391,0.10106,0.27642,0.30183,0.32244
4,test,1.1255,0.5417,0.14035,0.37215,0.34131,0.34476
5,train,1.0734,0.5625,0.11812,0.30625,0.29089,0.34665
5,test,1.0776,0.5303,0.16562,0.39462,0.35962,0.36896
6,train,1.0272,0.5762,0.13635,0.31658,0.29873,0.36040
6,test,1.1043,0.5492,0.18861,0.39067,0.35635,0.36575
7,train,0.9501,0.5869,0.14990,0.30976,0.29656,0.35701
7,test,1.0459,0.5644,0.20575,0.38352,0.36176,0.36640
8,train,0.9005,0.6299,0.16360,0.30526,0.29549,0.36051
8,test,0.9919,0.5947,0.22039,0.37661,0.35391,0.36766
9,train,0.8572,0.6211,0.17911,0.30199,0.29426,0.35855
9,test,0.9971,0.5795,0.24949,0.37909,0.36046,0.36090
10,train,0.8027,0.6592,0.20213,0.30572,0.29884,0.35471
10,test,0.9929,0.5795,0.27620,0.38373,0.35524,0.36591
11,train,0.7650,0.6680,0.21949,0.30515,0.29278,0.35864
11,test,1.0110,0.5909,0.29431,0.38419,0.36040,0.36731
12,train,0.7264,0.6865,0.22867,0.30682,0.30037,0.35720
12,test,0.9218,0.6212,0.29873,0.37414,0.35417,0.35408
13,train,0.6840,0.6914,0.23214,0.30191,0.29496,0.35274
13,test,1.0084,0.5871,0.30174,0.37812,0.35737,0.35884
14,train,0.6377,0.7100,0.23455,0.30081,0.29632,0.35750
14,test,0.9494,0.6174,0.30424,0.37612,0.35963,0.35362
15,train,0.6069,0.7451,0.23713,0.30323,0.30189,0.35404
15,test,0.9146,0.6288,0.30633,0.37656,0.35554,0.35521
16,train,0.5595,0.7666,0.23807,0.30199,0.29768,0.35595
16,test,0.9176,0.6174,0.30863,0.37577,0.35387,0.36083
17,train,0.5547,0.7568,0.23983,0.29948,0.29567,0.36155
17,test,0.9075,0.6136,0.31707,0.37050,0.35361,0.35611
18,train,0.5467,0.7529,0.24808,0.29831,0.29700,0.35845
18,test,0.9722,0.6061,0.32634,0.37151,0.35638,0.35240
19,train,0.5179,0.7686,0.25173,0.29759,0.29578,0.35242
19,test,0.9395,0.6174,0.32927,0.37899,0.36563,0.35421
20,train,0.4926,0.7812,0.25507,0.30158,0.30006,0.35165
20,test,0.8653,0.6288,0.33134,0.37721,0.35651,0.35649
21,train,0.4778,0.7979,0.25570,0.30062,0.29756,0.35633
21,test,0.9222,0.6250,0.33292,0.38006,0.36665,0.36277
22,train,0.4430,0.8232,0.25823,0.30349,0.30270,0.36032
22,test,0.9375,0.6250,0.33438,0.37439,0.34865,0.35882
23,train,0.4152,0.8281,0.26126,0.29940,0.29253,0.35702
23,test,0.9072,0.6136,0.33558,0.37056,0.35545,0.35512
24,train,0.4101,0.8193,0.26141,0.29753,0.30130,0.35628
24,test,0.9189,0.6364,0.33661,0.37174,0.35994,0.35845
25,train,0.3653,0.8584,0.26013,0.29712,0.29761,0.36021
25,test,0.9334,0.6477,0.33769,0.37771,0.36340,0.36332
26,train,0.3663,0.8584,0.26090,0.30173,0.30152,0.36050
26,test,0.9321,0.6477,0.33879,0.37832,0.35934,0.36436
27,train,0.3500,0.8584,0.26336,0.30171,0.29719,0.35827
27,test,0.9364,0.6402,0.33974,0.37555,0.35761,0.36625
28,train,0.3525,0.8467,0.26295,0.29862,0.29762,0.36007
28,test,0.9094,0.6250,0.34060,0.37531,0.36154,0.35970
29,train,0.3144,0.8779,0.26440,0.30001,0.30082,0.35544
29,test,0.9397,0.6250,0.34159,0.37834,0.36535,0.36333
30,train,0.3062,0.8887,0.26601,0.30238,0.30201,0.36148
30,test,0.9380,0.6629,0.34249,0.37595,0.35352,0.36922
