epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.0281,0.2842,0.05934,0.10117,0.14766,0.16447
1,test,1.4200,0.4583,0.08494,0.16360,0.24870,0.27611
2,train,1.3604,0.4727,0.07208,0.14885,0.18588,0.25802
2,test,1.1992,0.5076,0.09769,0.21159,0.18299,0.27585
3,train,1.1106,0.5684,0.08523,0.16983,0.14791,0.26459
3,test,1.0716,0.5606,0.12105,0.21812,0.19833,0.32759
4,train,0.9460,0.6074,0.10258,0.16942,0.16721,0.31490
4,test,0.9159,0.5833,0.14310,0.20626,0.19928,0.33183
5,train,0.8140,0.6523,0.12112,0.15760,0.15550,0.30438
5,test,0.9397,0.5909,0.16807,0.19987,0.19254,0.32758
6,train,0.7821,0.6670,0.13541,0.15791,0.16057,0.31691
6,test,0.9102,0.5985,0.18162,0.19926,0.19738,0.34078
7,train,0.6720,0.7178,0.14216,0.16092,0.16194,0.32483
7,test,0.8541,0.6250,0.18816,0.20704,0.20304,0.34515
8,train,0.6236,0.7461,0.14702,0.16061,0.15897,0.32017
8,test,0.8292,0.6364,0.19390,0.19803,0.19168,0.33404
9,train,0.5706,0.7461,0.15187,0.15978,0.16178,0.32549
9,test,0.8710,0.6136,0.19941,0.20220,0.20076,0.34533
10,train,0.5065,0.7881,0.15580,0.16160,0.16302,0.33299
10,test,0.9071,0.5947,0.20430,0.19950,0.19153,0.34417
11,train,0.4938,0.7910,0.15713,0.15798,0.15578,0.32823
11,test,0.9087,0.6098,0.20506,0.20233,0.19584,0.35035
12,train,0.4324,0.8340,0.15799,0.16348,0.16365,0.33304
12,test,0.8749,0.6288,0.20330,0.20252,0.19606,0.34534
13,train,0.4107,0.8369,0.15808,0.15870,0.15865,0.32837
13,test,0.8965,0.6364,0.20337,0.19495,0.19048,0.33782
14,train,0.3682,0.8604,0.15810,0.16058,0.16065,0.33298
14,test,0.8499,0.6288,0.20333,0.20496,0.19867,0.35231
15,train,0.3304,0.8838,0.15896,0.16295,0.16301,0.34030
15,test,0.8679,0.6477,0.20382,0.19498,0.18985,0.34918
16,train,0.2820,0.9229,0.15889,0.15903,0.15956,0.33729
16,test,0.9096,0.6402,0.20393,0.20102,0.19554,0.35832
17,train,0.2646,0.9209,0.15821,0.16114,0.16102,0.34360
17,test,0.8712,0.6742,0.20381,0.19963,0.19299,0.35791
18,train,0.2392,0.9395,0.15854,0.15959,0.16021,0.34699
18,test,0.9220,0.6477,0.20354,0.19976,0.19535,0.36287
19,train,0.2178,0.9473,0.15682,0.15871,0.15914,0.35286
19,test,0.9114,0.6591,0.20343,0.19984,0.19766,0.37206
20,train,0.1940,0.9668,0.15768,0.16149,0.16071,0.35249
20,test,0.8921,0.6629,0.20398,0.20224,0.19318,0.36393
21,train,0.1678,0.9707,0.15837,0.16045,0.16058,0.34814
21,test,0.9123,0.6818,0.20677,0.20228,0.19735,0.36949
22,train,0.1459,0.9756,0.15992,0.16186,0.16221,0.35293
22,test,0.9799,0.6326,0.20685,0.19656,0.18810,0.36292
23,train,0.1165,0.9893,0.16093,0.15866,0.15899,0.35347
23,test,0.9564,0.6742,0.20648,0.19774,0.19506,0.37297
24,train,0.1052,0.9854,0.15884,0.15985,0.16009,0.35696
24,test,0.9820,0.6591,0.20374,0.20149,0.19319,0.36709
25,train,0.0832,0.9941,0.15773,0.15982,0.16137,0.35586
25,test,0.9871,0.6439,0.20655,0.19870,0.19576,0.37272
26,train,0.0791,0.9912,0.15897,0.16085,0.16143,0.35907
26,test,1.0104,0.6515,0.20693,0.20050,0.19147,0.36808
27,train,0.0755,0.9941,0.16033,0.16099,0.15992,0.35578
27,test,1.0339,0.6553,0.20693,0.19660,0.19176,0.36379
28,train,0.0752,0.9893,0.15903,0.15928,0.15992,0.35442
28,test,1.1009,0.6553,0.20663,0.20078,0.19411,0.37244
29,train,0.0735,0.9893,0.15938,0.16042,0.15915,0.35754
29,test,1.0215,0.6705,0.20635,0.20008,0.19301,0.37019
30,train,0.0616,0.9893,0.15969,0.16089,0.16309,0.36038
30,test,1.0432,0.6553,0.20645,0.19386,0.18966,0.36559
