epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.1292,0.2480,0.11773,0.05817,0.05531,0.07897
1,test,1.6949,0.4394,0.13801,0.05784,0.05781,0.13553
2,train,1.4751,0.5010,0.10383,0.04679,0.05468,0.16583
2,test,1.1303,0.5833,0.12208,0.05824,0.07822,0.27656
3,train,1.1346,0.5830,0.09134,0.04398,0.05925,0.23756
3,test,1.0212,0.5833,0.10966,0.05379,0.06973,0.27059
4,train,0.9449,0.6299,0.08188,0.04189,0.05550,0.24958
4,test,0.9342,0.5909,0.09789,0.05096,0.06713,0.29359
5,train,0.8374,0.6416,0.07233,0.04125,0.05365,0.26680
5,test,0.8885,0.5644,0.08526,0.05012,0.06338,0.29668
6,train,0.7445,0.6992,0.06552,0.04114,0.05205,0.27606
6,test,0.8943,0.5985,0.07549,0.05085,0.06225,0.30648
7,train,0.7041,0.6904,0.05979,0.04086,0.05046,0.27955
7,test,0.8606,0.6136,0.07086,0.05095,0.06123,0.30617
8,train,0.6096,0.7607,0.05603,0.04159,0.04975,0.28238
8,test,0.8493,0.6553,0.06936,0.05244,0.06153,0.30825
9,train,0.5451,0.7715,0.05378,0.04263,0.05051,0.29109
9,test,0.8431,0.6212,0.06565,0.05440,0.06166,0.31905
10,train,0.4980,0.7900,0.05222,0.04373,0.05070,0.29754
10,test,0.8155,0.6288,0.06410,0.05325,0.06082,0.32176
11,train,0.4584,0.8242,0.04958,0.04228,0.04887,0.29594
11,test,0.8390,0.6477,0.06318,0.05372,0.06030,0.32834
12,train,0.4048,0.8496,0.05032,0.04465,0.05033,0.31030
12,test,0.8649,0.6136,0.05720,0.05413,0.05804,0.33346
13,train,0.3998,0.8477,0.04728,0.04231,0.04718,0.30114
13,test,0.8553,0.6212,0.05939,0.05143,0.05780,0.33475
14,train,0.3528,0.8516,0.04686,0.04313,0.04903,0.31722
14,test,0.8696,0.6439,0.05436,0.05177,0.05724,0.34550
15,train,0.2960,0.9043,0.04460,0.04384,0.04849,0.32244
15,test,0.9009,0.6553,0.05423,0.05451,0.05745,0.35272
16,train,0.2566,0.9355,0.04578,0.04522,0.04922,0.33075
16,test,0.9081,0.6288,0.05174,0.05227,0.05679,0.35537
17,train,0.2183,0.9492,0.04396,0.04457,0.04840,0.33370
17,test,0.9332,0.6023,0.05487,0.05538,0.05718,0.36309
18,train,0.1839,0.9580,0.04385,0.04432,0.04809,0.33674
18,test,0.9598,0.6288,0.05185,0.05136,0.05533,0.35796
19,train,0.1577,0.9736,0.04305,0.04356,0.04753,0.33880
19,test,0.9702,0.6402,0.05429,0.05488,0.05552,0.35937
20,train,0.1302,0.9805,0.04347,0.04436,0.04757,0.33851
20,test,0.9298,0.6553,0.05179,0.05258,0.05472,0.36042
21,train,0.1081,0.9873,0.04275,0.04360,0.04701,0.33987
21,test,0.9745,0.6439,0.05187,0.05267,0.05508,0.36815
22,train,0.0845,0.9980,0.04257,0.04305,0.04656,0.34090
22,test,1.0105,0.6212,0.05156,0.05128,0.05346,0.35918
23,train,0.0771,0.9932,0.04283,0.04355,0.04650,0.34172
23,test,1.0457,0.6174,0.05170,0.05241,0.05328,0.36028
24,train,0.0730,0.9902,0.04266,0.04290,0.04541,0.33680
24,test,1.0346,0.6288,0.05147,0.05112,0.05279,0.35866
25,train,0.0545,0.9971,0.04250,0.04325,0.04563,0.34073
25,test,1.0141,0.6515,0.05152,0.05233,0.05269,0.36224
26,train,0.0463,0.9961,0.04254,0.04302,0.04548,0.34278
26,test,1.0968,0.6364,0.05126,0.05088,0.05236,0.36472
27,train,0.0382,0.9980,0.04249,0.04246,0.04483,0.34277
27,test,1.1106,0.6364,0.05380,0.04938,0.05080,0.36422
28,train,0.0338,0.9990,0.04274,0.04162,0.04409,0.34339
28,test,1.0986,0.6402,0.05137,0.05026,0.05120,0.36864
29,train,0.0276,1.0000,0.04258,0.04244,0.04424,0.34512
29,test,1.1492,0.6477,0.05122,0.05028,0.05095,0.36928
30,train,0.0213,0.9990,0.04237,0.04238,0.04431,0.35004
30,test,1.1646,0.6326,0.05111,0.05003,0.05030,0.36956
