epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,1.9719,0.3057,0.11785,0.07774,0.08652,0.13388
1,test,1.3801,0.5114,0.14089,0.10019,0.11695,0.22763
2,train,1.2356,0.5859,0.10528,0.07934,0.09412,0.22585
2,test,1.0197,0.5871,0.12864,0.09694,0.11294,0.28827
3,train,1.0003,0.6143,0.09512,0.07475,0.08658,0.25955
3,test,0.9605,0.5795,0.11619,0.09496,0.10781,0.30892
4,train,0.8183,0.6650,0.09115,0.07738,0.08834,0.29521
4,test,0.8536,0.6364,0.11343,0.09654,0.10714,0.33101
5,train,0.7222,0.6807,0.08854,0.07983,0.08526,0.30297
5,test,0.8440,0.6326,0.10848,0.09677,0.10244,0.32419
6,train,0.6464,0.7256,0.08392,0.07942,0.08322,0.30820
6,test,0.8158,0.6402,0.10549,0.10117,0.10715,0.34429
7,train,0.5730,0.7617,0.08397,0.08188,0.08632,0.32036
7,test,0.8383,0.6439,0.10513,0.10066,0.10309,0.34053
8,train,0.5123,0.7881,0.08353,0.08095,0.08160,0.31252
8,test,0.8181,0.6629,0.10794,0.10104,0.10433,0.34065
9,train,0.4557,0.8115,0.08540,0.08257,0.08511,0.32467
9,test,0.8050,0.6629,0.10768,0.10101,0.10266,0.34055
10,train,0.4008,0.8379,0.08433,0.08156,0.08294,0.32105
10,test,0.7700,0.6515,0.10686,0.09905,0.10137,0.34133
11,train,0.3658,0.8730,0.08284,0.08039,0.08156,0.31744
11,test,0.8314,0.6591,0.10677,0.10136,0.10378,0.34657
12,train,0.3296,0.8789,0.08266,0.08232,0.08447,0.33239
12,test,0.8191,0.6515,0.10145,0.09912,0.09925,0.34997
13,train,0.2956,0.8955,0.08222,0.08234,0.08347,0.33162
13,test,0.8682,0.6515,0.10417,0.09944,0.09850,0.34888
14,train,0.2827,0.8926,0.08182,0.08126,0.08142,0.33435
14,test,0.8672,0.6515,0.10701,0.10224,0.10103,0.35973
15,train,0.2236,0.9297,0.08357,0.08317,0.08328,0.34281
15,test,0.8578,0.6667,0.10432,0.09973,0.09799,0.35911
16,train,0.1965,0.9551,0.08154,0.07994,0.08152,0.33960
16,test,0.8790,0.6553,0.10187,0.09695,0.09903,0.36410
17,train,0.1646,0.9668,0.08125,0.08150,0.08436,0.35191
17,test,0.8759,0.6894,0.10462,0.10162,0.10188,0.37090
18,train,0.1592,0.9482,0.08131,0.08198,0.08176,0.34607
18,test,0.8816,0.6402,0.10454,0.10069,0.09668,0.36031
19,train,0.1242,0.9834,0.08182,0.08215,0.08121,0.34558
19,test,0.8774,0.6553,0.10419,0.09953,0.09809,0.36656
20,train,0.1059,0.9814,0.08214,0.08266,0.08352,0.35413
20,test,0.8822,0.6515,0.10160,0.09789,0.09837,0.37051
21,train,0.0966,0.9902,0.08044,0.08057,0.08210,0.35498
21,test,0.8994,0.6591,0.10134,0.09704,0.09677,0.37128
22,train,0.0731,0.9951,0.08074,0.08167,0.08250,0.35542
22,test,0.9422,0.6591,0.10425,0.10015,0.09784,0.36974
23,train,0.0718,0.9912,0.08150,0.08172,0.08148,0.35433
23,test,0.9589,0.6780,0.10372,0.09833,0.09587,0.36896
24,train,0.0613,0.9922,0.08093,0.08067,0.08128,0.35602
24,test,0.9763,0.6212,0.10119,0.09754,0.09604,0.37343
25,train,0.0531,0.9941,0.08157,0.08156,0.08282,0.35826
25,test,0.9671,0.6326,0.10425,0.09905,0.09668,0.36582
26,train,0.0386,0.9990,0.08230,0.08202,0.08191,0.35777
26,test,1.0016,0.6515,0.10112,0.09602,0.09317,0.37146
27,train,0.0337,0.9990,0.08024,0.07954,0.07970,0.35834
27,test,1.0669,0.6515,0.10098,0.09524,0.09420,0.37794
28,train,0.0282,1.0000,0.08068,0.08099,0.08318,0.37391
28,test,1.0539,0.6515,0.10125,0.09858,0.09731,0.38786
29,train,0.0246,1.0000,0.08056,0.08074,0.08015,0.36568
29,test,1.0188,0.6515,0.10085,0.09587,0.09241,0.37502
30,train,0.0187,1.0000,0.08033,0.08072,0.08096,0.36741
30,test,1.0713,0.6667,0.10143,0.09814,0.09708,0.38411
