epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.2547,0.1982,0.04971,0.05785,0.04839,0.05061
1,test,1.9642,0.3068,0.05617,0.04924,0.03394,0.05376
2,train,1.8205,0.3447,0.04429,0.03377,0.02882,0.06552
2,test,1.5235,0.4583,0.04916,0.03835,0.04475,0.14647
3,train,1.3200,0.5410,0.04037,0.03026,0.04014,0.15743
3,test,1.1122,0.5492,0.04780,0.03794,0.05878,0.23341
4,train,1.0696,0.6045,0.03913,0.03005,0.04659,0.21421
4,test,0.9801,0.5871,0.04658,0.03697,0.05765,0.25089
5,train,0.9066,0.6436,0.03834,0.02865,0.04283,0.21555
5,test,0.9356,0.6136,0.04559,0.03545,0.05205,0.24046
6,train,0.8122,0.6670,0.03682,0.02787,0.04038,0.21787
6,test,0.8967,0.6326,0.04214,0.03508,0.05077,0.25072
7,train,0.7246,0.7041,0.03503,0.02782,0.03995,0.23157
7,test,0.8579,0.6515,0.04149,0.03583,0.05267,0.28217
8,train,0.6638,0.7236,0.03453,0.02833,0.04030,0.24657
8,test,0.8679,0.6098,0.04075,0.03561,0.04916,0.27608
9,train,0.6206,0.7461,0.03379,0.02797,0.03720,0.23612
9,test,0.8389,0.6174,0.03999,0.03554,0.04644,0.26797
10,train,0.5659,0.7705,0.03271,0.02818,0.03662,0.24185
10,test,0.8653,0.6174,0.03722,0.03461,0.04612,0.27876
11,train,0.5234,0.7744,0.03140,0.02786,0.03611,0.24565
11,test,0.8541,0.6326,0.03697,0.03501,0.04478,0.27653
12,train,0.4700,0.8184,0.03131,0.02843,0.03521,0.24482
12,test,0.8925,0.6364,0.03681,0.03526,0.04359,0.27334
13,train,0.4331,0.8330,0.03131,0.02891,0.03529,0.25218
13,test,0.8547,0.6136,0.03682,0.03582,0.04331,0.28306
14,train,0.3761,0.8750,0.03133,0.02911,0.03485,0.25502
14,test,0.8833,0.6515,0.03675,0.03591,0.04310,0.28901
15,train,0.3425,0.8848,0.03139,0.02957,0.03480,0.26191
15,test,0.9332,0.6250,0.03678,0.03630,0.04139,0.28695
16,train,0.3065,0.8955,0.03113,0.02950,0.03380,0.26279
16,test,0.9333,0.6136,0.03658,0.03709,0.04146,0.29202
17,train,0.2704,0.9170,0.03099,0.02989,0.03368,0.26549
17,test,0.9227,0.6250,0.03648,0.03622,0.04050,0.29020
18,train,0.2418,0.9258,0.03084,0.02977,0.03334,0.26860
18,test,1.0270,0.6250,0.03609,0.03602,0.03964,0.29208
19,train,0.2282,0.9326,0.02990,0.02861,0.03185,0.26211
19,test,1.0766,0.6250,0.03595,0.03722,0.04036,0.30040
20,train,0.2114,0.9297,0.02948,0.02848,0.03176,0.26915
20,test,1.0755,0.6326,0.03353,0.03294,0.03691,0.29411
21,train,0.1686,0.9541,0.02952,0.02904,0.03237,0.27816
21,test,1.0492,0.6553,0.03591,0.03787,0.04076,0.30889
22,train,0.1313,0.9775,0.02900,0.02790,0.03150,0.27442
22,test,1.1013,0.6364,0.03339,0.03341,0.03688,0.30053
23,train,0.1059,0.9941,0.02904,0.02825,0.03212,0.28388
23,test,1.1026,0.6515,0.03317,0.03249,0.03731,0.31107
24,train,0.0941,0.9912,0.02858,0.02776,0.03150,0.28552
24,test,1.1196,0.6402,0.03311,0.03272,0.03726,0.31737
25,train,0.0679,0.9980,0.02840,0.02769,0.03131,0.28822
25,test,1.1323,0.6288,0.03285,0.03318,0.03488,0.29102
26,train,0.0639,0.9990,0.02828,0.02766,0.03052,0.28445
26,test,1.1603,0.6402,0.03277,0.03307,0.03457,0.29047
27,train,0.0529,0.9990,0.02832,0.02763,0.03051,0.28469
27,test,1.1816,0.6515,0.03262,0.03229,0.03460,0.29331
28,train,0.0474,0.9990,0.02807,0.02755,0.02943,0.27569
28,test,1.2015,0.6591,0.03255,0.03229,0.03445,0.29763
29,train,0.0392,1.0000,0.02807,0.02756,0.02991,0.28632
29,test,1.2701,0.6439,0.03251,0.03309,0.03394,0.30081
30,train,0.0351,1.0000,0.02801,0.02752,0.02928,0.28264
30,test,1.2806,0.6326,0.03243,0.03197,0.03374,0.30006
