epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.1040,0.2285,0.05817,0.07834,0.08083,0.09730
1,test,1.5457,0.4545,0.07595,0.10550,0.11355,0.17427
2,train,1.3158,0.5400,0.06699,0.08481,0.09727,0.19900
2,test,1.0839,0.5833,0.09388,0.10428,0.11553,0.25965
3,train,1.0052,0.6182,0.07561,0.08030,0.08622,0.23630
3,test,0.9717,0.6098,0.09935,0.10369,0.10317,0.27347
4,train,0.8348,0.6572,0.07899,0.08235,0.08539,0.26500
4,test,0.8845,0.6098,0.10083,0.10309,0.10969,0.30225
5,train,0.7189,0.6924,0.07952,0.08138,0.08610,0.27677
5,test,0.8921,0.6250,0.10066,0.10255,0.10434,0.29397
6,train,0.6506,0.7256,0.07762,0.08022,0.08338,0.27373
6,test,0.8763,0.6326,0.09491,0.10156,0.10285,0.29332
7,train,0.5563,0.7656,0.07764,0.08204,0.08393,0.28295
7,test,0.8577,0.6326,0.09824,0.10404,0.10564,0.30610
8,train,0.5238,0.7725,0.07936,0.08181,0.08359,0.28741
8,test,0.8533,0.6288,0.09902,0.10083,0.10016,0.29891
9,train,0.4671,0.7988,0.07996,0.08090,0.08277,0.28742
9,test,0.8876,0.6288,0.10192,0.10303,0.10423,0.31006
10,train,0.4002,0.8506,0.08056,0.08346,0.08501,0.29401
10,test,0.8648,0.6364,0.10196,0.10197,0.10215,0.30913
11,train,0.3680,0.8857,0.08048,0.08102,0.08220,0.29174
11,test,0.8413,0.6818,0.10163,0.10345,0.10228,0.31062
12,train,0.3273,0.8936,0.08073,0.08346,0.08494,0.30038
12,test,0.8652,0.6553,0.10163,0.10279,0.10341,0.31608
13,train,0.2929,0.9150,0.08122,0.08122,0.08400,0.30646
13,test,0.9224,0.6439,0.10399,0.10005,0.10010,0.31602
14,train,0.2596,0.9229,0.08131,0.08155,0.08194,0.30410
14,test,0.9191,0.6439,0.10093,0.10300,0.10059,0.32604
15,train,0.2179,0.9570,0.08052,0.08284,0.08425,0.31524
15,test,0.9690,0.6591,0.10114,0.09883,0.10167,0.33177
16,train,0.1865,0.9521,0.08043,0.08121,0.08314,0.31612
16,test,0.9920,0.6364,0.09889,0.10101,0.09946,0.32817
17,train,0.1749,0.9551,0.07999,0.08194,0.08277,0.31694
17,test,0.9950,0.6364,0.10164,0.10009,0.09941,0.32774
18,train,0.1397,0.9727,0.08075,0.08111,0.08233,0.31866
18,test,1.0029,0.6477,0.10401,0.09771,0.09720,0.33041
19,train,0.1054,0.9902,0.08016,0.08017,0.08239,0.32484
19,test,1.0154,0.6629,0.10120,0.10134,0.10056,0.34421
20,train,0.0902,0.9961,0.08016,0.08153,0.08329,0.32951
20,test,1.0138,0.6591,0.10120,0.09986,0.09927,0.34183
21,train,0.0720,0.9980,0.08009,0.08081,0.08289,0.33335
21,test,1.0620,0.6515,0.10136,0.10114,0.09907,0.34918
22,train,0.0562,0.9990,0.08061,0.08202,0.08263,0.33542
22,test,1.0876,0.6326,0.10179,0.09798,0.09616,0.34408
23,train,0.0473,1.0000,0.08114,0.08011,0.08155,0.33454
23,test,1.1354,0.6439,0.10127,0.09961,0.09794,0.34990
24,train,0.0402,1.0000,0.08041,0.08048,0.08157,0.33705
24,test,1.1579,0.6288,0.10089,0.09894,0.09713,0.35616
25,train,0.0334,1.0000,0.07957,0.08031,0.08156,0.34180
25,test,1.1745,0.6288,0.10080,0.10007,0.09781,0.35415
26,train,0.0279,1.0000,0.07964,0.08163,0.08226,0.34429
26,test,1.1389,0.6439,0.10118,0.09983,0.09635,0.35154
27,train,0.0225,1.0000,0.08066,0.08075,0.08090,0.34301
27,test,1.2151,0.6288,0.10382,0.09721,0.09520,0.35335
28,train,0.0208,1.0000,0.08035,0.07951,0.08114,0.34531
28,test,1.2010,0.6515,0.10097,0.09911,0.09807,0.36272
29,train,0.0183,1.0000,0.07953,0.08081,0.08190,0.34925
29,test,1.2484,0.6364,0.09854,0.10128,0.09645,0.36233
30,train,0.0158,1.0000,0.08013,0.08059,0.08065,0.34677
30,test,1.1797,0.6553,0.10143,0.09792,0.09517,0.35877
