epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.3988,0.8718,0.04770,0.07890,0.09892,0.24077
1,test,0.1513,0.9529,0.05303,0.07989,0.09765,0.23062
2,train,0.1305,0.9588,0.05456,0.07845,0.09740,0.23765
2,test,0.0979,0.9697,0.05585,0.07770,0.09439,0.21564
3,train,0.0943,0.9704,0.05600,0.07567,0.09421,0.22634
3,test,0.0984,0.9665,0.05724,0.07793,0.09586,0.21530
4,train,0.0769,0.9754,0.05626,0.07449,0.09148,0.21420
4,test,0.0925,0.9691,0.05689,0.07396,0.09059,0.20642
5,train,0.0617,0.9803,0.05634,0.07358,0.09100,0.21107
5,test,0.0765,0.9737,0.05780,0.07110,0.08796,0.20489
6,train,0.0559,0.9811,0.05749,0.07212,0.08961,0.20554
6,test,0.0985,0.9686,0.05864,0.07435,0.08948,0.20657
7,train,0.0476,0.9842,0.05690,0.07209,0.08873,0.20084
7,test,0.0838,0.9747,0.05825,0.06867,0.08586,0.18307
8,train,0.0442,0.9853,0.05748,0.06958,0.08656,0.19511
8,test,0.0852,0.9739,0.05810,0.07016,0.08580,0.18424
9,train,0.0347,0.9880,0.05747,0.07044,0.08642,0.18919
9,test,0.0733,0.9761,0.05865,0.07135,0.08642,0.19175
10,train,0.0323,0.9891,0.05834,0.06921,0.08655,0.19109
10,test,0.0862,0.9751,0.05824,0.06644,0.08513,0.17822
