epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.4174,0.8653,0.03479,0.05346,0.07192,0.15303
1,test,0.1354,0.9564,0.03872,0.06103,0.07706,0.15505
2,train,0.1214,0.9618,0.03880,0.05824,0.07238,0.13848
2,test,0.0928,0.9685,0.04075,0.06058,0.07296,0.13579
3,train,0.0876,0.9725,0.04055,0.05929,0.07090,0.12998
3,test,0.0803,0.9746,0.04132,0.05814,0.06798,0.11890
4,train,0.0698,0.9779,0.04122,0.05887,0.06941,0.11940
4,test,0.0754,0.9766,0.04206,0.05887,0.07077,0.11678
5,train,0.0580,0.9811,0.04141,0.05824,0.06785,0.11553
5,test,0.0647,0.9803,0.04275,0.05875,0.06771,0.11466
6,train,0.0481,0.9842,0.04212,0.05690,0.06666,0.11359
6,test,0.0668,0.9793,0.04351,0.05821,0.06803,0.11002
7,train,0.0432,0.9853,0.04292,0.05677,0.06637,0.10785
7,test,0.0736,0.9779,0.04381,0.05840,0.06629,0.11060
8,train,0.0367,0.9883,0.04271,0.05653,0.06473,0.10832
8,test,0.0729,0.9768,0.04367,0.05720,0.06651,0.10558
9,train,0.0323,0.9894,0.04246,0.05642,0.06424,0.10660
9,test,0.0720,0.9798,0.04278,0.05760,0.06437,0.10600
10,train,0.0307,0.9897,0.04166,0.05520,0.06354,0.10496
10,test,0.0623,0.9819,0.04216,0.05494,0.06160,0.10097
