epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.3862,0.8769,0.08282,0.07289,0.10093,0.24931
1,test,0.1624,0.9484,0.08672,0.07619,0.10138,0.23930
2,train,0.1316,0.9595,0.08720,0.07527,0.10130,0.23644
2,test,0.1157,0.9631,0.08961,0.07446,0.10210,0.22584
3,train,0.0955,0.9702,0.08806,0.07605,0.10051,0.22367
3,test,0.0974,0.9691,0.09002,0.07421,0.09914,0.21903
4,train,0.0775,0.9759,0.08905,0.07532,0.09841,0.21593
4,test,0.0831,0.9727,0.08988,0.07576,0.09959,0.21705
5,train,0.0646,0.9790,0.08868,0.07454,0.09758,0.21280
5,test,0.1057,0.9664,0.08857,0.07361,0.09492,0.20769
6,train,0.0584,0.9811,0.08817,0.07429,0.09426,0.20088
6,test,0.0786,0.9741,0.08916,0.07652,0.09354,0.19281
7,train,0.0480,0.9841,0.08786,0.07345,0.09403,0.19490
7,test,0.0714,0.9769,0.08957,0.07632,0.09618,0.19162
8,train,0.0433,0.9858,0.08773,0.07389,0.09356,0.19026
8,test,0.0878,0.9743,0.08831,0.07274,0.09427,0.18710
9,train,0.0391,0.9873,0.08740,0.07247,0.09192,0.19075
9,test,0.0930,0.9726,0.08982,0.07290,0.09356,0.18698
10,train,0.0359,0.9879,0.08828,0.07185,0.09184,0.18277
10,test,0.0759,0.9769,0.08878,0.07404,0.09132,0.18026
