epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.4136,0.8669,0.03349,0.05729,0.07452,0.16572
1,test,0.1393,0.9546,0.03755,0.06157,0.07630,0.16600
2,train,0.1287,0.9595,0.03772,0.05883,0.07117,0.14672
2,test,0.1008,0.9658,0.03897,0.05756,0.06855,0.13589
3,train,0.0948,0.9707,0.03842,0.05490,0.06712,0.13018
3,test,0.0849,0.9733,0.03901,0.05486,0.06446,0.11975
4,train,0.0755,0.9767,0.03905,0.05404,0.06653,0.12332
4,test,0.0753,0.9765,0.03924,0.05186,0.06290,0.10652
5,train,0.0594,0.9813,0.03910,0.05325,0.06573,0.11502
5,test,0.0654,0.9781,0.04038,0.05320,0.06523,0.11230
6,train,0.0551,0.9822,0.03932,0.05298,0.06347,0.11202
6,test,0.0721,0.9765,0.04057,0.05420,0.06379,0.11079
7,train,0.0464,0.9845,0.03940,0.05225,0.06240,0.10731
7,test,0.0774,0.9752,0.03978,0.05229,0.06065,0.10557
8,train,0.0406,0.9871,0.03928,0.05109,0.05997,0.10431
8,test,0.0632,0.9795,0.03990,0.05369,0.05908,0.09683
9,train,0.0359,0.9878,0.03908,0.05063,0.05921,0.10138
9,test,0.0667,0.9806,0.03973,0.05299,0.06174,0.10546
10,train,0.0317,0.9890,0.03904,0.05040,0.05839,0.10089
10,test,0.0629,0.9800,0.04002,0.05032,0.05624,0.09015
