epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.3822,0.8766,0.05903,0.05543,0.07329,0.15281
1,test,0.1463,0.9515,0.06328,0.05815,0.07105,0.13637
2,train,0.1231,0.9613,0.06429,0.05886,0.07091,0.13138
2,test,0.1060,0.9685,0.06674,0.05966,0.07132,0.11896
3,train,0.0878,0.9721,0.06649,0.05929,0.06927,0.11813
3,test,0.0949,0.9714,0.06714,0.05877,0.06826,0.11884
4,train,0.0707,0.9773,0.06508,0.05735,0.06594,0.11156
4,test,0.0811,0.9749,0.06589,0.05905,0.06682,0.11038
5,train,0.0601,0.9813,0.06490,0.05665,0.06452,0.10574
5,test,0.0708,0.9789,0.06524,0.05594,0.06241,0.10516
6,train,0.0505,0.9838,0.06454,0.05657,0.06415,0.10055
6,test,0.0779,0.9771,0.06566,0.05758,0.06452,0.10124
7,train,0.0430,0.9859,0.06402,0.05566,0.06432,0.10283
7,test,0.0676,0.9780,0.06468,0.05569,0.06416,0.09957
8,train,0.0421,0.9861,0.06265,0.05516,0.06172,0.09764
8,test,0.0946,0.9727,0.06326,0.05516,0.06370,0.09767
9,train,0.0360,0.9880,0.06258,0.05378,0.06112,0.09324
9,test,0.0865,0.9756,0.06371,0.05576,0.06046,0.09083
10,train,0.0347,0.9878,0.06278,0.05451,0.05985,0.09064
10,test,0.0713,0.9787,0.06441,0.05519,0.05940,0.08798
