epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.2291,0.3213,0.03445,0.05035,0.05855,0.07274
1,test,1.4309,0.4697,0.03773,0.05077,0.05201,0.05835
2,train,1.1941,0.5664,0.03301,0.04455,0.04805,0.06648
2,test,1.0511,0.5720,0.03797,0.05240,0.05798,0.09014
3,train,0.8621,0.6396,0.03320,0.04750,0.05538,0.10064
3,test,0.9903,0.6098,0.03856,0.05649,0.06691,0.12066
4,train,0.7066,0.6904,0.03372,0.05020,0.06033,0.12083
4,test,0.8932,0.6136,0.03918,0.05875,0.06972,0.13172
5,train,0.5960,0.7461,0.03410,0.05161,0.06141,0.12581
5,test,0.8816,0.6402,0.03928,0.05966,0.06917,0.12833
6,train,0.5170,0.7852,0.03438,0.05284,0.06173,0.12498
6,test,0.8907,0.6477,0.03972,0.06152,0.07001,0.13125
7,train,0.4349,0.8125,0.03455,0.05426,0.06387,0.13242
7,test,0.8466,0.6439,0.03982,0.06339,0.07403,0.14023
8,train,0.3936,0.8311,0.03486,0.05629,0.06757,0.14269
8,test,0.8973,0.6402,0.04027,0.06591,0.07900,0.15519
9,train,0.3460,0.8525,0.03509,0.05810,0.07079,0.15294
9,test,0.9119,0.6818,0.04055,0.06750,0.08061,0.15743
10,train,0.2924,0.8721,0.03529,0.05915,0.07134,0.15179
10,test,0.8626,0.7121,0.04080,0.06856,0.08070,0.15548
11,train,0.2246,0.9297,0.03564,0.06069,0.07333,0.15853
11,test,0.9263,0.6667,0.04132,0.07112,0.08507,0.16844
12,train,0.1824,0.9512,0.03621,0.06335,0.07868,0.17296
12,test,1.0035,0.6705,0.04179,0.07384,0.09194,0.18490
13,train,0.1674,0.9541,0.03653,0.06522,0.08356,0.18552
13,test,1.0038,0.6780,0.04201,0.07498,0.09409,0.18705
14,train,0.1337,0.9736,0.03688,0.06603,0.08442,0.18428
14,test,0.9911,0.6932,0.04255,0.07608,0.09479,0.18779
15,train,0.0993,0.9824,0.03746,0.06756,0.08585,0.18682
15,test,1.0772,0.6932,0.04305,0.07803,0.09722,0.19504
16,train,0.0754,0.9922,0.03766,0.06882,0.08799,0.19493
16,test,1.1078,0.6818,0.04346,0.07988,0.10084,0.20553
17,train,0.0767,0.9854,0.03794,0.07031,0.09134,0.20549
17,test,1.1639,0.6591,0.04383,0.08109,0.10354,0.20855
18,train,0.0680,0.9814,0.03831,0.07103,0.09235,0.20325
18,test,1.1244,0.6742,0.04416,0.08154,0.10348,0.20448
19,train,0.0639,0.9814,0.03816,0.07051,0.09096,0.19828
19,test,1.1746,0.6780,0.04399,0.08099,0.10134,0.19674
20,train,0.0499,0.9961,0.03835,0.07071,0.08983,0.19449
20,test,1.1313,0.6818,0.04422,0.08152,0.10106,0.20101
21,train,0.0361,0.9971,0.03851,0.07149,0.09095,0.20274
21,test,1.1311,0.6818,0.04436,0.08267,0.10287,0.20888
22,train,0.0284,0.9980,0.03865,0.07236,0.09288,0.20893
22,test,1.1749,0.6742,0.04441,0.08316,0.10558,0.21526
23,train,0.0196,1.0000,0.03900,0.07338,0.09581,0.21631
23,test,1.1778,0.6818,0.04455,0.08390,0.10805,0.22083
24,train,0.0190,0.9990,0.03892,0.07369,0.09724,0.21907
24,test,1.2509,0.6818,0.04485,0.08510,0.11013,0.22595
25,train,0.0149,1.0000,0.03888,0.07409,0.09833,0.22235
25,test,1.2369,0.6818,0.04489,0.08561,0.11162,0.22715
26,train,0.0122,0.9990,0.03898,0.07461,0.09968,0.22514
26,test,1.2411,0.6856,0.04510,0.08636,0.11316,0.22920
27,train,0.0105,1.0000,0.03945,0.07577,0.10140,0.22786
27,test,1.2966,0.6932,0.04526,0.08693,0.11429,0.23278
28,train,0.0097,1.0000,0.03941,0.07595,0.10201,0.23036
28,test,1.2878,0.6970,0.04548,0.08765,0.11543,0.23670
29,train,0.0083,1.0000,0.03952,0.07636,0.10250,0.23122
29,test,1.3310,0.6856,0.04550,0.08791,0.11582,0.23397
30,train,0.0082,1.0000,0.03964,0.07677,0.10319,0.22988
30,test,1.2964,0.6894,0.04564,0.08836,0.11687,0.23544
