epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.6826,0.2793,0.04596,0.05337,0.06702,0.11299
1,test,1.6104,0.4508,0.05511,0.05894,0.06902,0.11403
2,train,1.2932,0.5195,0.04503,0.04608,0.05346,0.09181
2,test,1.0590,0.5606,0.05392,0.05505,0.06464,0.11021
3,train,0.9559,0.5977,0.04504,0.04542,0.05624,0.10694
3,test,0.9671,0.6098,0.05358,0.05516,0.07092,0.13244
4,train,0.7757,0.6777,0.04475,0.04640,0.06102,0.12481
4,test,0.9215,0.6061,0.05290,0.05677,0.07522,0.14293
5,train,0.6572,0.7178,0.04384,0.04719,0.06354,0.13292
5,test,0.8905,0.6288,0.05264,0.05799,0.07664,0.14750
6,train,0.5794,0.7510,0.04386,0.04835,0.06510,0.13629
6,test,0.9480,0.6023,0.05251,0.05918,0.07848,0.14993
7,train,0.5480,0.7568,0.04373,0.04896,0.06561,0.13716
7,test,1.0838,0.6023,0.05256,0.05894,0.07631,0.14493
8,train,0.5087,0.7578,0.04402,0.04935,0.06534,0.13516
8,test,0.9353,0.6212,0.05293,0.05986,0.07718,0.14460
9,train,0.4121,0.8232,0.04405,0.04963,0.06599,0.13622
9,test,0.9322,0.6250,0.05292,0.06085,0.08001,0.14979
10,train,0.3614,0.8574,0.04410,0.05112,0.06943,0.14574
10,test,1.0708,0.6250,0.05317,0.06310,0.08390,0.16163
11,train,0.3214,0.8730,0.04453,0.05318,0.07272,0.15551
11,test,0.9423,0.6667,0.05355,0.06466,0.08566,0.16462
12,train,0.3288,0.8633,0.04450,0.05355,0.07304,0.15604
12,test,1.0082,0.6477,0.05409,0.06532,0.08592,0.16677
13,train,0.2729,0.9072,0.04529,0.05417,0.07287,0.15600
13,test,0.9655,0.6629,0.05427,0.06569,0.08605,0.16620
14,train,0.2256,0.9355,0.04576,0.05537,0.07477,0.16148
14,test,0.9997,0.6553,0.05445,0.06699,0.08839,0.17181
15,train,0.2066,0.9414,0.04569,0.05645,0.07730,0.16823
15,test,1.1689,0.6174,0.05480,0.06905,0.09231,0.18148
16,train,0.1689,0.9561,0.04577,0.05768,0.07945,0.17169
16,test,1.0825,0.6553,0.05495,0.06997,0.09447,0.18555
17,train,0.1356,0.9658,0.04611,0.05821,0.08138,0.17917
17,test,1.2123,0.6553,0.05573,0.07034,0.09569,0.19076
18,train,0.1215,0.9756,0.04696,0.05953,0.08366,0.18285
18,test,1.1641,0.6629,0.05630,0.07200,0.09832,0.19263
19,train,0.0953,0.9824,0.04759,0.06112,0.08635,0.18903
19,test,1.0886,0.6742,0.05687,0.07380,0.10128,0.19873
20,train,0.0857,0.9854,0.04778,0.06184,0.08717,0.19115
20,test,1.2384,0.6553,0.05710,0.07383,0.10062,0.19697
21,train,0.0662,0.9922,0.04795,0.06209,0.08741,0.18973
21,test,1.2391,0.6629,0.05718,0.07466,0.10173,0.19707
22,train,0.0592,0.9854,0.04802,0.06276,0.08819,0.19120
22,test,1.3269,0.6780,0.05737,0.07566,0.10255,0.20217
23,train,0.0552,0.9893,0.04818,0.06358,0.08904,0.19409
23,test,1.3270,0.6818,0.05724,0.07615,0.10331,0.20058
24,train,0.0398,0.9961,0.04786,0.06367,0.09002,0.19768
24,test,1.3202,0.6705,0.05767,0.07703,0.10579,0.20675
25,train,0.0376,0.9941,0.04852,0.06490,0.09228,0.20274
25,test,1.3181,0.6742,0.05795,0.07763,0.10670,0.20804
26,train,0.0302,0.9990,0.04885,0.06553,0.09324,0.20461
26,test,1.3045,0.6856,0.05816,0.07835,0.10810,0.21063
27,train,0.0278,0.9980,0.04897,0.06606,0.09377,0.20427
27,test,1.3243,0.6742,0.05826,0.07893,0.10841,0.20994
28,train,0.0318,0.9961,0.04888,0.06622,0.09402,0.20496
28,test,1.3962,0.6705,0.05837,0.07918,0.10892,0.21033
29,train,0.0328,0.9932,0.04942,0.06695,0.09448,0.20331
29,test,1.3611,0.6970,0.05834,0.07886,0.10663,0.20247
30,train,0.0196,0.9990,0.04895,0.06593,0.09168,0.19738
30,test,1.3862,0.6894,0.05855,0.07867,0.10560,0.20472
