epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.1161,0.3193,0.04480,0.06084,0.06390,0.08084
1,test,1.5593,0.4508,0.05030,0.06167,0.05838,0.08547
2,train,1.2848,0.5508,0.04241,0.05138,0.05450,0.10935
2,test,1.0670,0.5379,0.05089,0.06399,0.07314,0.16906
3,train,0.9274,0.6309,0.04287,0.05365,0.06425,0.17571
3,test,0.9537,0.5871,0.05186,0.06299,0.07521,0.20475
4,train,0.7656,0.6709,0.04413,0.04995,0.05981,0.18560
4,test,0.8644,0.6553,0.05309,0.05689,0.06610,0.19871
5,train,0.6683,0.7129,0.04403,0.04738,0.05492,0.18160
5,test,0.9029,0.6288,0.05214,0.05622,0.06413,0.20070
6,train,0.5848,0.7510,0.04377,0.04777,0.05503,0.19141
6,test,0.8744,0.6402,0.05141,0.05821,0.06485,0.20957
7,train,0.5068,0.7842,0.04354,0.04828,0.05504,0.20016
7,test,0.8506,0.6629,0.05171,0.05871,0.06507,0.21994
8,train,0.4372,0.8291,0.04373,0.04916,0.05580,0.21094
8,test,0.8857,0.6288,0.05251,0.05783,0.06384,0.23063
9,train,0.4104,0.8193,0.04405,0.04825,0.05430,0.21303
9,test,0.8828,0.6477,0.05238,0.05670,0.06068,0.21994
10,train,0.3548,0.8584,0.04422,0.04755,0.05194,0.20800
10,test,0.8514,0.6742,0.05235,0.05688,0.05972,0.21880
11,train,0.3121,0.8926,0.04424,0.04820,0.05250,0.21403
11,test,0.9435,0.6212,0.05290,0.05771,0.06100,0.23588
12,train,0.2743,0.9033,0.04426,0.04998,0.05375,0.22457
12,test,0.9309,0.6553,0.05241,0.05933,0.06138,0.24079
13,train,0.2403,0.9229,0.04462,0.04983,0.05319,0.23010
13,test,0.9397,0.6515,0.05303,0.05808,0.05892,0.23456
14,train,0.2006,0.9590,0.04503,0.04910,0.05158,0.22321
14,test,0.9980,0.6174,0.05346,0.05818,0.05854,0.23904
15,train,0.1642,0.9746,0.04531,0.04990,0.05295,0.23398
15,test,1.0088,0.6515,0.05351,0.05856,0.06074,0.25007
16,train,0.1413,0.9756,0.04524,0.04947,0.05333,0.23954
16,test,1.0521,0.6326,0.05371,0.05772,0.05974,0.24954
17,train,0.1383,0.9639,0.04521,0.04851,0.05168,0.23537
17,test,1.0048,0.6705,0.05382,0.05628,0.05674,0.24284
18,train,0.1019,0.9863,0.04525,0.04805,0.05047,0.23488
18,test,1.0614,0.6553,0.05338,0.05692,0.05752,0.24990
19,train,0.0714,1.0000,0.04465,0.04858,0.05140,0.24550
19,test,1.0594,0.6477,0.05323,0.05742,0.05890,0.26295
20,train,0.0628,0.9980,0.04492,0.04858,0.05204,0.25428
20,test,1.1198,0.6174,0.05358,0.05546,0.05701,0.26312
21,train,0.0539,0.9990,0.04503,0.04712,0.05038,0.25265
21,test,1.1421,0.6174,0.05350,0.05500,0.05597,0.26191
22,train,0.0418,1.0000,0.04508,0.04720,0.05021,0.25563
22,test,1.1322,0.6288,0.05347,0.05487,0.05593,0.26897
23,train,0.0360,1.0000,0.04529,0.04716,0.05001,0.26123
23,test,1.1349,0.6364,0.05332,0.05453,0.05480,0.26848
24,train,0.0307,1.0000,0.04500,0.04659,0.04880,0.26057
24,test,1.1735,0.6174,0.05323,0.05407,0.05388,0.27033
25,train,0.0280,1.0000,0.04468,0.04605,0.04802,0.26175
25,test,1.1930,0.5985,0.05318,0.05371,0.05365,0.27368
26,train,0.0238,1.0000,0.04465,0.04580,0.04795,0.26665
26,test,1.1643,0.6629,0.05317,0.05328,0.05325,0.27646
27,train,0.0216,1.0000,0.04493,0.04573,0.04761,0.26640
27,test,1.2076,0.6364,0.05327,0.05229,0.05197,0.27327
28,train,0.0208,1.0000,0.04481,0.04464,0.04651,0.26418
28,test,1.2462,0.6288,0.05314,0.05172,0.05132,0.27332
29,train,0.0177,1.0000,0.04469,0.04456,0.04631,0.26470
29,test,1.1723,0.6515,0.05291,0.05180,0.05127,0.27436
30,train,0.0140,1.0000,0.04457,0.04467,0.04626,0.26726
30,test,1.2237,0.6515,0.05273,0.05168,0.05110,0.27926
