epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.4241,0.8678,0.07733,0.08115,0.08214,0.30552
1,test,0.1715,0.9465,0.08104,0.08035,0.07960,0.31952
2,train,0.1456,0.9545,0.08016,0.07999,0.08016,0.32088
2,test,0.1242,0.9588,0.08070,0.08094,0.07990,0.30882
3,train,0.1106,0.9652,0.08027,0.07955,0.08002,0.31237
3,test,0.1141,0.9607,0.08033,0.07902,0.07821,0.28913
4,train,0.0900,0.9719,0.08014,0.07973,0.08013,0.30823
4,test,0.1098,0.9631,0.08105,0.07918,0.08074,0.30858
5,train,0.0756,0.9757,0.08023,0.07976,0.08018,0.30569
5,test,0.1006,0.9671,0.08014,0.07894,0.07972,0.30060
6,train,0.0680,0.9784,0.08001,0.07970,0.08001,0.30049
6,test,0.0980,0.9682,0.08061,0.07915,0.08008,0.30827
7,train,0.0599,0.9801,0.08010,0.07964,0.07998,0.29967
7,test,0.0891,0.9719,0.07998,0.07936,0.08036,0.28871
8,train,0.0540,0.9822,0.08012,0.07961,0.07994,0.29345
8,test,0.1089,0.9667,0.08027,0.07918,0.07866,0.27929
9,train,0.0447,0.9855,0.08006,0.07988,0.08007,0.28898
9,test,0.0891,0.9719,0.08123,0.07878,0.08017,0.29719
10,train,0.0442,0.9850,0.08026,0.07971,0.07989,0.28567
10,test,0.0972,0.9692,0.08086,0.07900,0.07992,0.27514
