epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.8229,0.7235,0.24147,0.29205,0.29864,0.36996
1,test,0.4470,0.8592,0.27959,0.29651,0.29752,0.37358
2,train,0.3370,0.8933,0.28524,0.29821,0.29956,0.38542
2,test,0.3275,0.8972,0.28877,0.29973,0.30105,0.39820
3,train,0.2559,0.9200,0.29093,0.29863,0.29979,0.37920
3,test,0.2401,0.9255,0.29317,0.29377,0.29397,0.38166
4,train,0.2140,0.9317,0.29417,0.29871,0.29946,0.37896
4,test,0.2129,0.9312,0.29467,0.29593,0.29918,0.38925
5,train,0.1979,0.9358,0.29539,0.29893,0.29956,0.36655
5,test,0.2127,0.9339,0.29571,0.30215,0.30282,0.35448
6,train,0.1732,0.9453,0.29607,0.29903,0.29962,0.35647
6,test,0.1722,0.9434,0.29607,0.29902,0.29607,0.36624
7,train,0.1595,0.9491,0.29673,0.29890,0.29954,0.34981
7,test,0.1785,0.9438,0.29697,0.30028,0.29820,0.33358
8,train,0.1456,0.9532,0.29706,0.29910,0.29955,0.34652
8,test,0.1755,0.9442,0.29735,0.29960,0.29888,0.34944
9,train,0.1425,0.9540,0.29707,0.29918,0.29974,0.33754
9,test,0.1545,0.9504,0.29761,0.29660,0.29634,0.33431
10,train,0.1323,0.9566,0.29749,0.29887,0.29966,0.33054
10,test,0.1693,0.9456,0.29755,0.29510,0.29842,0.31615
