epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.8453,0.7133,0.22792,0.28945,0.29817,0.34217
1,test,0.3973,0.8728,0.27690,0.29749,0.29914,0.35473
2,train,0.3312,0.8942,0.28295,0.29796,0.29949,0.36472
2,test,0.2710,0.9126,0.28734,0.29568,0.29772,0.36987
3,train,0.2534,0.9200,0.28940,0.29812,0.29962,0.35950
3,test,0.2337,0.9300,0.29086,0.29895,0.30073,0.35932
4,train,0.2116,0.9327,0.29257,0.29837,0.29966,0.35649
4,test,0.1968,0.9381,0.29353,0.29654,0.29731,0.35645
5,train,0.1881,0.9399,0.29447,0.29854,0.29950,0.34493
5,test,0.1723,0.9454,0.29463,0.29676,0.29851,0.34503
6,train,0.1698,0.9458,0.29556,0.29851,0.29952,0.35611
6,test,0.1637,0.9470,0.29636,0.29841,0.29574,0.36056
7,train,0.1549,0.9502,0.29667,0.29869,0.29955,0.35713
7,test,0.1570,0.9493,0.29657,0.29888,0.29937,0.34969
8,train,0.1511,0.9513,0.29689,0.29881,0.29951,0.35618
8,test,0.2037,0.9351,0.29686,0.30402,0.30121,0.36412
9,train,0.1381,0.9545,0.29723,0.29862,0.29969,0.35153
9,test,0.1742,0.9461,0.29749,0.29446,0.29925,0.33070
10,train,0.1328,0.9568,0.29766,0.29883,0.29950,0.33342
10,test,0.1359,0.9562,0.29757,0.29663,0.29686,0.32136
