epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.4245,0.8654,0.04502,0.04484,0.04697,0.26751
1,test,0.1596,0.9488,0.04513,0.04260,0.04305,0.27717
2,train,0.1419,0.9556,0.04420,0.04201,0.04230,0.27769
2,test,0.1302,0.9580,0.04477,0.04286,0.04133,0.26378
3,train,0.1045,0.9672,0.04344,0.04171,0.04154,0.27266
3,test,0.1056,0.9643,0.04360,0.04131,0.04090,0.26446
4,train,0.0845,0.9726,0.04278,0.04141,0.04152,0.26973
4,test,0.1000,0.9677,0.04288,0.04035,0.04127,0.26185
5,train,0.0696,0.9778,0.04274,0.04111,0.04115,0.26533
5,test,0.0876,0.9706,0.04320,0.04128,0.04080,0.26341
6,train,0.0587,0.9806,0.04209,0.04112,0.04092,0.26171
6,test,0.0919,0.9698,0.04229,0.04034,0.04106,0.26485
7,train,0.0518,0.9826,0.04208,0.04100,0.04100,0.26477
7,test,0.0982,0.9705,0.04219,0.04107,0.04124,0.26555
8,train,0.0437,0.9853,0.04171,0.04095,0.04092,0.26634
8,test,0.1140,0.9674,0.04334,0.04133,0.04096,0.26152
9,train,0.0401,0.9861,0.04144,0.04083,0.04106,0.26668
9,test,0.1002,0.9720,0.04120,0.04084,0.04082,0.26231
10,train,0.0360,0.9870,0.04144,0.04117,0.04085,0.26421
10,test,0.0975,0.9718,0.04213,0.04197,0.04098,0.26591
