epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.5209,0.8340,0.15548,0.15862,0.16050,0.33531
1,test,0.2127,0.9349,0.16134,0.16061,0.15847,0.36111
2,train,0.1890,0.9406,0.15987,0.15946,0.15958,0.36555
2,test,0.1814,0.9421,0.16055,0.16062,0.16185,0.35187
3,train,0.1428,0.9540,0.15990,0.15941,0.15986,0.35937
3,test,0.1673,0.9490,0.16052,0.15942,0.16042,0.35706
4,train,0.1216,0.9609,0.15991,0.15933,0.15972,0.35413
4,test,0.1374,0.9560,0.16074,0.15980,0.15999,0.35909
5,train,0.1038,0.9671,0.15977,0.15938,0.15979,0.34384
5,test,0.1535,0.9517,0.16029,0.16030,0.16009,0.33816
6,train,0.0949,0.9698,0.15993,0.15943,0.15963,0.34067
6,test,0.1150,0.9640,0.15977,0.15868,0.15893,0.33071
7,train,0.0858,0.9722,0.15990,0.15955,0.15971,0.33319
7,test,0.1101,0.9642,0.16128,0.16285,0.16217,0.33164
8,train,0.0800,0.9740,0.15982,0.15938,0.15983,0.32822
8,test,0.1046,0.9692,0.15982,0.15972,0.15765,0.31607
9,train,0.0726,0.9763,0.15990,0.15966,0.15964,0.33009
9,test,0.1243,0.9628,0.15966,0.15986,0.15873,0.31970
10,train,0.0672,0.9782,0.15982,0.15958,0.15971,0.32516
10,test,0.1136,0.9653,0.16008,0.16009,0.16019,0.32124
