epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.5664,0.8149,0.14698,0.15722,0.16073,0.31783
1,test,0.2184,0.9325,0.15982,0.15672,0.15950,0.34459
2,train,0.1842,0.9415,0.15962,0.15879,0.15980,0.34426
2,test,0.1582,0.9509,0.16005,0.15729,0.15813,0.33903
3,train,0.1374,0.9569,0.15975,0.15899,0.15973,0.33893
3,test,0.1324,0.9574,0.16029,0.16011,0.15988,0.34499
4,train,0.1163,0.9638,0.15979,0.15922,0.15979,0.32625
4,test,0.1175,0.9636,0.15995,0.15981,0.15902,0.33940
5,train,0.1000,0.9677,0.15969,0.15940,0.15958,0.33095
5,test,0.1151,0.9640,0.15915,0.15746,0.16034,0.32190
6,train,0.0895,0.9704,0.15963,0.15912,0.15971,0.32133
6,test,0.1078,0.9654,0.16078,0.15884,0.15778,0.31552
7,train,0.0843,0.9720,0.15955,0.15930,0.15961,0.31554
7,test,0.1034,0.9680,0.15973,0.15862,0.16002,0.31849
8,train,0.0761,0.9752,0.15971,0.15928,0.15976,0.31459
8,test,0.1027,0.9681,0.15994,0.16025,0.15821,0.30788
9,train,0.0680,0.9773,0.15968,0.15952,0.15972,0.30703
9,test,0.1094,0.9650,0.15914,0.15905,0.15967,0.30237
10,train,0.0662,0.9779,0.15973,0.15943,0.15982,0.30465
10,test,0.0931,0.9691,0.15879,0.16083,0.15896,0.31006
