epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.8593,0.7095,0.21951,0.28945,0.29956,0.33781
1,test,0.4114,0.8711,0.27159,0.29981,0.30095,0.36134
2,train,0.3370,0.8932,0.27929,0.29843,0.29970,0.35702
2,test,0.2610,0.9192,0.28490,0.29731,0.30045,0.35544
3,train,0.2504,0.9210,0.28785,0.29877,0.29956,0.35538
3,test,0.2490,0.9216,0.29021,0.29739,0.29443,0.34489
4,train,0.2183,0.9303,0.29145,0.29888,0.29960,0.35981
4,test,0.2064,0.9376,0.29265,0.29891,0.29424,0.34002
5,train,0.1891,0.9397,0.29365,0.29911,0.29958,0.35899
5,test,0.2239,0.9288,0.29426,0.29797,0.29761,0.35582
6,train,0.1748,0.9441,0.29456,0.29910,0.29930,0.33806
6,test,0.1992,0.9391,0.29451,0.29449,0.29608,0.35146
7,train,0.1681,0.9462,0.29515,0.29888,0.29968,0.32993
7,test,0.1635,0.9492,0.29567,0.29874,0.30552,0.32452
8,train,0.1488,0.9518,0.29571,0.29896,0.29951,0.33140
8,test,0.1521,0.9503,0.29608,0.30069,0.30212,0.31929
9,train,0.1414,0.9551,0.29607,0.29897,0.29980,0.31471
9,test,0.1450,0.9536,0.29670,0.29657,0.29587,0.31037
10,train,0.1311,0.9582,0.29685,0.29914,0.29969,0.30603
10,test,0.1499,0.9562,0.29667,0.29731,0.29830,0.30465
