epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.4617,0.8517,0.04635,0.04440,0.04717,0.26718
1,test,0.1749,0.9461,0.04519,0.04199,0.04278,0.29069
2,train,0.1480,0.9537,0.04411,0.04225,0.04227,0.28711
2,test,0.1357,0.9549,0.04324,0.04168,0.04068,0.27374
3,train,0.1084,0.9655,0.04313,0.04179,0.04163,0.28228
3,test,0.1096,0.9630,0.04362,0.04153,0.04220,0.27868
4,train,0.0868,0.9724,0.04279,0.04133,0.04119,0.27688
4,test,0.0959,0.9698,0.04214,0.04197,0.04073,0.27022
5,train,0.0755,0.9758,0.04239,0.04124,0.04105,0.26975
5,test,0.1028,0.9665,0.04224,0.04004,0.04193,0.27367
6,train,0.0634,0.9790,0.04223,0.04114,0.04114,0.27231
6,test,0.0923,0.9690,0.04253,0.04102,0.04123,0.27131
7,train,0.0546,0.9817,0.04196,0.04106,0.04101,0.26965
7,test,0.0891,0.9729,0.04254,0.04070,0.03939,0.25185
8,train,0.0480,0.9840,0.04197,0.04094,0.04068,0.26457
8,test,0.1041,0.9689,0.04227,0.04145,0.04110,0.25596
9,train,0.0430,0.9860,0.04193,0.04127,0.04089,0.26060
9,test,0.0951,0.9713,0.04145,0.04072,0.03957,0.24781
10,train,0.0381,0.9869,0.04170,0.04101,0.04063,0.26248
10,test,0.0925,0.9717,0.04210,0.03954,0.04079,0.25225
