epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.5343,0.8257,0.03557,0.03088,0.03299,0.23609
1,test,0.1885,0.9415,0.03303,0.02787,0.02800,0.25990
2,train,0.1569,0.9512,0.03145,0.02744,0.02658,0.25807
2,test,0.1371,0.9559,0.03082,0.02698,0.02623,0.25838
3,train,0.1153,0.9639,0.02985,0.02655,0.02531,0.25282
3,test,0.1178,0.9617,0.02985,0.02642,0.02545,0.25322
4,train,0.0946,0.9700,0.02776,0.02573,0.02482,0.25109
4,test,0.1133,0.9641,0.02720,0.02567,0.02445,0.24903
5,train,0.0813,0.9742,0.02685,0.02534,0.02406,0.24761
5,test,0.1114,0.9647,0.02684,0.02458,0.02347,0.23944
6,train,0.0703,0.9769,0.02632,0.02526,0.02398,0.24809
6,test,0.0980,0.9689,0.02673,0.02567,0.02396,0.24346
7,train,0.0603,0.9803,0.02611,0.02503,0.02359,0.23901
7,test,0.0930,0.9700,0.02597,0.02524,0.02297,0.22945
8,train,0.0537,0.9819,0.02561,0.02484,0.02345,0.23764
8,test,0.1076,0.9695,0.02587,0.02580,0.02435,0.24697
9,train,0.0471,0.9838,0.02544,0.02508,0.02344,0.23841
9,test,0.1105,0.9680,0.02559,0.02444,0.02291,0.23387
10,train,0.0438,0.9855,0.02516,0.02462,0.02328,0.23987
10,test,0.1007,0.9723,0.02502,0.02463,0.02365,0.23783
