epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.4460,0.8595,0.05168,0.04446,0.04718,0.27814
1,test,0.1850,0.9416,0.04651,0.04274,0.04249,0.29476
2,train,0.1547,0.9520,0.04564,0.04280,0.04279,0.29822
2,test,0.1302,0.9578,0.04523,0.04207,0.04402,0.30162
3,train,0.1133,0.9639,0.04380,0.04207,0.04196,0.29187
3,test,0.1249,0.9605,0.04317,0.04217,0.04192,0.28298
4,train,0.0897,0.9720,0.04296,0.04170,0.04151,0.28564
4,test,0.1054,0.9660,0.04305,0.04176,0.04041,0.27860
5,train,0.0766,0.9754,0.04259,0.04170,0.04128,0.28325
5,test,0.1064,0.9659,0.04138,0.04137,0.04094,0.27607
6,train,0.0647,0.9786,0.04194,0.04169,0.04128,0.28041
6,test,0.1006,0.9674,0.04231,0.04128,0.04044,0.27070
7,train,0.0579,0.9796,0.04227,0.04142,0.04124,0.28127
7,test,0.0950,0.9702,0.04202,0.04126,0.04113,0.27334
8,train,0.0497,0.9835,0.04169,0.04122,0.04100,0.27386
8,test,0.1066,0.9666,0.04034,0.04045,0.04046,0.26701
9,train,0.0426,0.9855,0.04182,0.04121,0.04118,0.27730
9,test,0.1014,0.9716,0.04248,0.04154,0.04064,0.27022
10,train,0.0382,0.9869,0.04181,0.04128,0.04116,0.27820
10,test,0.0880,0.9753,0.04220,0.04140,0.04160,0.27612
