epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.5040,0.8379,0.04178,0.03052,0.03304,0.23461
1,test,0.1953,0.9380,0.03382,0.02911,0.02754,0.24226
2,train,0.1674,0.9471,0.03159,0.02835,0.02723,0.25151
2,test,0.1470,0.9518,0.03080,0.02801,0.02724,0.25949
3,train,0.1229,0.9603,0.02947,0.02727,0.02566,0.24747
3,test,0.1221,0.9612,0.02970,0.02727,0.02529,0.24469
4,train,0.0983,0.9686,0.02843,0.02663,0.02490,0.24454
4,test,0.1047,0.9637,0.02818,0.02606,0.02444,0.24260
5,train,0.0825,0.9737,0.02748,0.02610,0.02438,0.24005
5,test,0.1038,0.9674,0.02743,0.02624,0.02467,0.24349
6,train,0.0716,0.9767,0.02718,0.02573,0.02402,0.23889
6,test,0.0979,0.9675,0.02688,0.02576,0.02364,0.23374
7,train,0.0632,0.9788,0.02658,0.02557,0.02397,0.23993
7,test,0.1013,0.9665,0.02794,0.02647,0.02415,0.24453
8,train,0.0545,0.9818,0.02626,0.02556,0.02351,0.24351
8,test,0.1034,0.9691,0.02642,0.02567,0.02314,0.23563
9,train,0.0482,0.9835,0.02605,0.02529,0.02363,0.24649
9,test,0.0983,0.9688,0.02627,0.02578,0.02293,0.23337
10,train,0.0435,0.9853,0.02577,0.02516,0.02348,0.24210
10,test,0.0918,0.9727,0.02583,0.02511,0.02372,0.24370
